DONOR PARTNER,INBOUND DATE,ITEMIZED LIST,UNITS RECEIVED,UNIT OF MEASURE,DATE REDISTRIBUTED,OUTBOUND RECIPIENT,ITEMIZED LIST.1,UNITS DISTRIBUTED,COMMENT,DONOR
,"August 24, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"October 12, 2025",Clinic 3,,46,,Regional Health Org
,"January 5, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"February 20, 2023",Clinic 3,,114,,City Medical Center
,"February 11, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"March 20, 2023",Clinic 3,,25,,General Hospital A
,"March 5, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"April 5, 2023",Clinic 3,,100,,Regional Health Org
,"March 20, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"April 23, 2023",Clinic 3,,23,,City Medical Center
,"May 13, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"July 10, 2023",Clinic 3,,44,,Regional Health Org
,"October 10, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"November 5, 2023",Clinic 3,,79,,City Medical Center
,"October 9, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"December 4, 2023",Clinic 3,,87,,General Hospital A
,"November 11, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PACK,"December 14, 2023",Clinic 3,,48,,City Medical Center
,"December 30, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"January 22, 2024",Clinic 3,,61,,City Medical Center
,"December 11, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"February 3, 2024",Clinic 3,,102,,General Hospital A
,"May 22, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"June 3, 2024",Clinic 3,,84,,Regional Health Org
,"June 14, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"July 8, 2024",Clinic 3,,37,,City Medical Center
,"July 11, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"July 22, 2024",Clinic 3,,96,,Regional Health Org
,"July 8, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"August 12, 2024",Clinic 3,,98,,City Medical Center
,"July 16, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"August 21, 2024",Clinic 3,,58,,Regional Health Org
,"September 1, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"October 24, 2024",Clinic 3,,75,,General Hospital A
,"March 19, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"April 9, 2025",Clinic 3,,106,,Regional Health Org
,"February 22, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"April 16, 2025",Clinic 3,,114,,City Medical Center
,"May 28, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"June 15, 2025",Clinic 3,,84,,General Hospital A
,"June 20, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"June 29, 2025",Clinic 3,,25,,Regional Health Org
,"July 15, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PACK,"July 30, 2025",Clinic 3,,32,,City Medical Center
,"July 29, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"September 1, 2025",Clinic 3,,102,,Regional Health Org
,"August 16, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"September 12, 2025",Clinic 3,,70,,Regional Health Org
,"August 31, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"October 1, 2025",Clinic 3,,82,,General Hospital A
,"January 1, 2023","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,BOX,"January 7, 2023",Clinic 3,,34,,City Medical Center
,"March 27, 2023","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,RL.,"April 30, 2023",Clinic 3,,48,,General Hospital A
,"May 25, 2023","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,CS.,"June 18, 2023",Clinic 3,,43,,Regional Health Org
,"July 10, 2023","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,EA.,"August 19, 2023",Clinic 3,,41,,General Hospital A
,"November 15, 2023","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,RL.,"November 27, 2023",Clinic 3,,19,,City Medical Center
,"January 15, 2024","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,PAIR,"February 13, 2024",Clinic 3,,36,,Regional Health Org
,"May 23, 2024","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,RL.,"July 2, 2024",Clinic 3,,38,,City Medical Center
,"July 19, 2024","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,BOX,"August 25, 2024",Clinic 3,,10,,City Medical Center
,"September 2, 2024","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,PACK,"September 30, 2024",Clinic 3,,38,,Regional Health Org
,"January 19, 2025","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,CS.,"March 10, 2025",Clinic 3,,14,,City Medical Center
,"May 11, 2025","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,PAIR,"June 4, 2025",Clinic 3,,37,,General Hospital A
,"April 30, 2025","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,PAIR,"June 18, 2025",Clinic 3,,37,,General Hospital A
,"May 30, 2025","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,RL.,"July 1, 2025",Clinic 3,,18,,General Hospital A
,"July 21, 2025","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,PAIR,"July 30, 2025",Clinic 3,,21,,General Hospital A
,"August 10, 2025","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,EA.,"September 10, 2025",Clinic 3,,24,,Regional Health Org
,"August 15, 2025","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,PACK,"October 6, 2025",Clinic 3,,32,,City Medical Center
,"January 1, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"February 8, 2023",Clinic 3,,85,,City Medical Center
,"May 9, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,PACK,"May 18, 2023",Clinic 3,,73,,City Medical Center
,"May 5, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,RL.,"June 7, 2023",Clinic 3,,70,,General Hospital A
,"July 8, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"August 23, 2023",Clinic 3,,52,,City Medical Center
,"September 18, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"October 20, 2023",Clinic 3,,53,,Regional Health Org
,"December 31, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"January 15, 2024",Clinic 3,,20,,City Medical Center
,"May 10, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,BOX,"May 31, 2024",Clinic 3,,105,,General Hospital A
,"May 17, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,EA.,"June 25, 2024",Clinic 3,,38,,City Medical Center
,"June 16, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"August 2, 2024",Clinic 3,,63,,City Medical Center
,"July 30, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,PACK,"August 14, 2024",Clinic 3,,94,,Regional Health Org
,"October 1, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,BOX,"October 16, 2024",Clinic 3,,26,,Regional Health Org
,"November 7, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"December 1, 2024",Clinic 3,,47,,Regional Health Org
,"January 10, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"February 14, 2025",Clinic 3,,47,,City Medical Center
,"March 11, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,BOX,"May 1, 2025",Clinic 3,,101,,City Medical Center
,"April 1, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,PACK,"May 29, 2025",Clinic 3,,28,,Regional Health Org
,"July 7, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"August 22, 2025",Clinic 3,,113,,General Hospital A
,"July 12, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,EA.,"August 28, 2025",Clinic 3,,114,,City Medical Center
,"September 6, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,PACK,"October 4, 2025",Clinic 3,,57,,General Hospital A
,"January 1, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PACK,"January 29, 2023",Clinic 3,,7,,Regional Health Org
,"February 15, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"March 11, 2023",Clinic 3,,48,,Regional Health Org
,"March 7, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"April 5, 2023",Clinic 3,,24,,Regional Health Org
,"March 20, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"May 11, 2023",Clinic 3,,12,,Regional Health Org
,"May 31, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"June 21, 2023",Clinic 3,,11,,Regional Health Org
,"May 2, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"June 30, 2023",Clinic 3,,27,,City Medical Center
,"August 15, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"October 2, 2023",Clinic 3,,31,,Regional Health Org
,"December 6, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"January 4, 2024",Clinic 3,,41,,General Hospital A
,"January 10, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"February 23, 2024",Clinic 3,,12,,General Hospital A
,"May 1, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"June 6, 2024",Clinic 3,,24,,City Medical Center
,"July 16, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"September 6, 2024",Clinic 3,,39,,General Hospital A
,"September 8, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"September 30, 2024",Clinic 3,,24,,General Hospital A
,"September 10, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PACK,"October 19, 2024",Clinic 3,,34,,Regional Health Org
,"December 29, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PACK,"January 28, 2025",Clinic 3,,47,,City Medical Center
,"January 8, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"February 24, 2025",Clinic 3,,36,,City Medical Center
,"February 24, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"March 17, 2025",Clinic 3,,11,,Regional Health Org
,"February 15, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PACK,"April 10, 2025",Clinic 3,,29,,Regional Health Org
,"March 29, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,EA.,"April 25, 2025",Clinic 3,,10,,City Medical Center
,"April 19, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"June 7, 2025",Clinic 3,,20,,General Hospital A
,"May 25, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"July 6, 2025",Clinic 3,,36,,City Medical Center
,"August 8, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,EA.,"August 30, 2025",Clinic 3,,13,,General Hospital A
,"September 7, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"October 7, 2025",Clinic 3,,49,,Regional Health Org
,"September 1, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PACK,"October 18, 2025",Clinic 3,,31,,City Medical Center
,"January 1, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"January 7, 2023",Clinic 3,,27,,General Hospital A
,"February 21, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,RL.,"March 22, 2023",Clinic 3,,100,,Regional Health Org
,"February 12, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"March 31, 2023",Clinic 3,,54,,City Medical Center
,"May 9, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,RL.,"June 8, 2023",Clinic 3,,117,,City Medical Center
,"August 8, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"August 19, 2023",Clinic 3,,82,,Regional Health Org
,"August 25, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"September 5, 2023",Clinic 3,,88,,City Medical Center
,"November 8, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"November 15, 2023",Clinic 3,,95,,Regional Health Org
,"November 27, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"January 8, 2024",Clinic 3,,32,,City Medical Center
,"December 30, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"January 24, 2024",Clinic 3,,47,,Regional Health Org
,"January 17, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,EA.,"March 9, 2024",Clinic 3,,92,,City Medical Center
,"February 24, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,RL.,"March 23, 2024",Clinic 3,,32,,General Hospital A
,"March 7, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"April 3, 2024",Clinic 3,,37,,Regional Health Org
,"June 4, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,EA.,"June 29, 2024",Clinic 3,,69,,Regional Health Org
,"June 23, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"August 8, 2024",Clinic 3,,45,,General Hospital A
,"August 9, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,RL.,"September 10, 2024",Clinic 3,,63,,General Hospital A
,"September 17, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"October 14, 2024",Clinic 3,,94,,General Hospital A
,"January 25, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"February 1, 2025",Clinic 3,,75,,General Hospital A
,"February 14, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"February 25, 2025",Clinic 3,,83,,General Hospital A
,"March 31, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"April 10, 2025",Clinic 3,,29,,Regional Health Org
,"April 16, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"May 30, 2025",Clinic 3,,26,,Regional Health Org
,"May 1, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,RL.,"June 17, 2025",Clinic 3,,83,,Regional Health Org
,"May 26, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,EA.,"June 24, 2025",Clinic 3,,85,,Regional Health Org
,"September 27, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,EA.,"October 7, 2025",Clinic 3,,22,,City Medical Center
,"May 30, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"June 27, 2023",Clinic 3,,41,,Regional Health Org
,"June 16, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"July 25, 2023",Clinic 3,,14,,City Medical Center
,"July 8, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"September 2, 2023",Clinic 3,,38,,Regional Health Org
,"November 29, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"December 11, 2023",Clinic 3,,38,,General Hospital A
,"November 25, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"January 7, 2024",Clinic 3,,42,,Regional Health Org
,"April 4, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"April 29, 2024",Clinic 3,,26,,Regional Health Org
,"May 22, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"June 5, 2024",Clinic 3,,11,,City Medical Center
,"June 22, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"July 24, 2024",Clinic 3,,11,,General Hospital A
,"August 16, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"September 18, 2024",Clinic 3,,35,,General Hospital A
,"October 2, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"October 14, 2024",Clinic 3,,27,,Regional Health Org
,"September 30, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"November 12, 2024",Clinic 3,,7,,General Hospital A
,"April 19, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"April 30, 2025",Clinic 3,,5,,Regional Health Org
,"March 15, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"May 11, 2025",Clinic 3,,31,,General Hospital A
,"May 7, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"June 13, 2025",Clinic 3,,31,,Regional Health Org
,"June 22, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"July 19, 2025",Clinic 3,,6,,Regional Health Org
,"September 16, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"October 10, 2025",Clinic 3,,26,,Regional Health Org
,"January 1, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"January 13, 2023",Clinic 3,,118,,Regional Health Org
,"January 1, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"February 2, 2023",Clinic 3,,105,,Regional Health Org
,"May 9, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"May 18, 2023",Clinic 3,,90,,Regional Health Org
,"May 6, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"June 6, 2023",Clinic 3,,115,,General Hospital A
,"June 27, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"July 21, 2023",Clinic 3,,44,,City Medical Center
,"June 26, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"August 22, 2023",Clinic 3,,91,,General Hospital A
,"August 22, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"September 9, 2023",Clinic 3,,92,,City Medical Center
,"August 28, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"September 20, 2023",Clinic 3,,93,,City Medical Center
,"September 13, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"October 2, 2023",Clinic 3,,93,,City Medical Center
,"April 10, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PACK,"May 14, 2024",Clinic 3,,113,,Regional Health Org
,"April 10, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,BOX,"June 4, 2024",Clinic 3,,82,,City Medical Center
,"August 14, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,BOX,"August 28, 2024",Clinic 3,,49,,Regional Health Org
,"August 18, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"September 20, 2024",Clinic 3,,49,,General Hospital A
,"September 22, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PACK,"October 23, 2024",Clinic 3,,94,,General Hospital A
,"November 11, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"January 4, 2025",Clinic 3,,110,,City Medical Center
,"December 31, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"January 15, 2025",Clinic 3,,102,,City Medical Center
,"January 26, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,BOX,"February 19, 2025",Clinic 3,,95,,Regional Health Org
,"February 15, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"March 5, 2025",Clinic 3,,35,,City Medical Center
,"March 11, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"April 6, 2025",Clinic 3,,21,,City Medical Center
,"March 19, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PACK,"April 20, 2025",Clinic 3,,90,,Regional Health Org
,"May 4, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"May 27, 2025",Clinic 3,,39,,General Hospital A
,"June 26, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"July 8, 2025",Clinic 3,,28,,City Medical Center
,"August 3, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PAIR,"August 12, 2025",Clinic 3,,32,,City Medical Center
,"August 3, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PAIR,"September 26, 2025",Clinic 3,,66,,General Hospital A
,"March 7, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"March 31, 2023",Clinic 3,,27,,City Medical Center
,"April 9, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"June 3, 2023",Clinic 3,,34,,Regional Health Org
,"July 31, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"September 10, 2023",Clinic 3,,23,,Regional Health Org
,"October 1, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"October 11, 2023",Clinic 3,,22,,General Hospital A
,"September 23, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"October 24, 2023",Clinic 3,,32,,General Hospital A
,"October 1, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"November 21, 2023",Clinic 3,,44,,General Hospital A
,"February 11, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"February 24, 2024",Clinic 3,,35,,General Hospital A
,"April 5, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"April 18, 2024",Clinic 3,,6,,Regional Health Org
,"April 29, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"May 20, 2024",Clinic 3,,38,,General Hospital A
,"May 30, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"June 11, 2024",Clinic 3,,11,,City Medical Center
,"July 19, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"August 7, 2024",Clinic 3,,11,,General Hospital A
